1024, "GTModelTypeGeoKey"
1025, "GTRasterTypeGeoKey"
1026, "GTCitationGeoKey"
2048, "GeographicTypeGeoKey"
2049, "GeogCitationGeoKey"
2050, "GeogGeodeticDatumGeoKey" 
2051, "GeogPrimeMeridianGeoKey"
2052, "GeogLinearUnitsGeoKey"
2054, "GeogAngularUnitsGeoKey"
2056, "GeogEllipsoidGeoKey"
2057, "GeogSemiMajorAxisGeoKey"
2059, "GeogInvFlatteningGeoKey"
2060, "GeogAzimuthUnitsGeoKey"
2061, "GeogPrimeMeridianLongGeoKey"
3072, "ProjectedCSTypeGeoKey"
3073, "PCSCitationGeoKey"
3074, "ProjectionGeoKey"
3075, "ProjCoordTransGeoKey"
3076, "ProjLinearUnitsGeoKey"
3078, "ProjStdParallel1GeoKey"
3079, "ProjStdParallel2GeoKey"
3084, "ProjFalseOriginLongGeoKey"
3085, "ProjFalseOriginLatGeoKey"
3086, "ProjFalseOriginEastingGeoKey"
3087, "ProjFalseOriginNorthingGeoKey"
4099, "VerticalUnitsGeoKey"
